date,price
2009-03-20,204.39
2009-03-23,204.39
2009-03-24,204.39
2009-03-25,204.39
2009-03-26,210.90
2009-03-27,210.90
2009-03-30,210.90
2009-03-31,210.90
2009-04-01,210.90
2009-04-02,210.90
2009-04-03,210.90
2009-04-07,210.90
2009-04-08,210.90
2009-04-09,210.90
2009-04-10,210.90
2009-04-13,210.90
2009-04-14,210.90
2009-04-15,210.90
2009-04-16,196.00
2009-04-17,196.00
2009-04-20,190.10
2009-04-21,190.10
2009-04-22,190.10
2009-04-23,195.24
2009-04-24,189.60
2009-04-27,199.08
2009-04-28,195.00
2009-04-29,197.40
2009-04-30,198.00
2009-05-04,198.00
2009-05-05,198.00
2009-05-06,198.00
2009-05-07,198.00
2009-05-08,198.00
2009-05-11,198.00
2009-05-12,198.00
2009-05-13,198.00
2009-05-14,198.00
2009-05-15,198.00
2009-05-18,204.12
2009-05-19,202.28
2009-05-20,203.25
2009-05-21,207.10
2009-05-22,208.20
2009-05-25,210.50
2009-05-26,210.00
2009-05-27,211.25
2009-06-01,216.62
2009-06-02,215.40
2009-06-03,217.80
2009-06-04,217.80
2009-06-05,216.20
2009-06-08,211.00
2009-06-09,210.00
2009-06-10,210.00
2009-06-11,210.00
2009-06-12,210.50
2009-06-15,210.50
2009-06-16,209.44
2009-06-17,209.44
2009-06-18,209.44
2009-06-19,208.60
2009-06-22,206.60
2009-06-23,204.54
2009-06-24,204.54
2009-06-25,204.54
2009-06-26,204.54
2009-06-29,207.00
2009-06-30,210.00
2009-07-01,210.00
2009-07-02,210.00
2009-07-03,210.00
2009-07-06,210.00
2009-07-07,210.00
2009-07-08,210.00
2009-07-09,210.00
2009-07-10,210.00
2009-07-13,210.00
2009-07-14,210.00
2009-07-15,210.00
2009-07-16,206.00
2009-07-17,205.00
2009-07-20,214.90
2009-07-21,209.46
2009-07-22,209.46
2009-07-23,210.50
2009-07-24,210.50
2009-07-27,210.80
2009-07-28,210.80
2009-07-29,210.80
2009-07-30,204.50
2009-07-31,204.50
2009-08-03,204.50
2009-08-04,204.50
2009-08-05,204.50
2009-08-06,204.50
2009-08-07,204.50
2009-08-10,204.50
2009-08-11,204.50
2009-08-12,204.50
2009-08-13,204.50
2009-08-14,204.50
2009-08-17,204.50
2009-08-18,206.30
2009-08-19,206.30
2009-08-20,206.30
2009-08-21,212.32
2009-08-24,209.50
2009-08-25,209.50
2009-08-26,208.10
2009-08-27,207.80
2009-08-28,208.85
2009-08-31,211.00
2009-09-01,211.00
2009-09-02,211.00
2009-09-03,211.00
2009-09-04,211.00
2009-09-07,211.00
2009-09-08,211.00
2009-09-09,211.00
2009-09-10,211.00
2009-09-11,211.00
2009-09-14,221.10
2009-09-15,221.10
2009-09-16,220.00
2009-09-17,220.00
2009-09-18,223.30
2009-09-21,223.30
2009-09-22,223.30
2009-09-23,223.30
2009-09-24,223.30
2009-09-25,223.30
2009-09-28,223.30
2009-09-29,223.30
2009-09-30,223.30
2009-10-09,223.30
2009-10-12,223.30
2009-10-13,223.30
2009-10-14,223.30
2009-10-15,223.30
2009-10-16,230.03
2009-10-19,230.03
2009-10-20,230.03
2009-10-21,229.00
2009-10-22,230.00
2009-10-23,229.96
2009-10-26,231.00
2009-10-27,231.00
2009-10-28,231.00
2009-10-29,223.10
2009-10-30,223.10
2009-11-02,223.10
2009-11-03,223.10
2009-11-04,223.10
2009-11-05,223.10
2009-11-06,223.10
2009-11-09,223.10
2009-11-10,223.10
2009-11-11,223.10
2009-11-12,223.10
2009-11-13,223.10
2009-11-16,223.10
2009-11-17,248.98
2009-11-18,250.86
2009-11-19,251.75
2009-11-20,252.65
2009-11-23,255.66
2009-11-24,255.91
2009-11-25,260.00
2009-11-26,263.00
2009-11-27,259.61
2009-11-30,263.00
